AgentID,AgentName,AgencyName,AgentPhone,AgentEmail,OfficeLocation
AGT500,Javier Johnson,Home Finders,2348023756669,williamjohnson@baldwin.net,"Ikeja, Lagos"
AGT501,Ian Cooper,Home Finders,2348055176955,blairamanda@yahoo.com,"Garki, Abuja FCT"
AGT502,Holly Wood,Home Finders,2348041244663,jacqueline19@jackson.biz,"Asokoro, Abuja FCT"
AGT503,Jennifer Rocha,Home Finders,2348052339391,josephwright@hotmail.com,"Fagge, Kano"
AGT504,James Ferrell,Home Finders,2348078387461,frazierdanny@hotmail.com,"Port Harcourt, Rivers"
AGT505,Katie Gonzalez,Nest Away,2348031227574,amberosborne@hotmail.com,"Ibadan, Oyo"
AGT506,Rose Spence,Home Finders,2348086149359,donnaarroyo@baker.biz,"Ikeja, Lagos"
AGT507,Andre Rivera,Nest Away,2348070597444,elizabeth38@cummings.org,"Port Harcourt, Rivers"
AGT508,Maria Brown,Nest Away,2348027758595,wrightjames@yahoo.com,"Nasarawa, Kano"
AGT509,Mr. James Brown,Home Finders,2348035529407,gallowayjoseph@yahoo.com,"Yaba, Lagos"
AGT510,Cody Larson,Home Finders,2348060864911,kwilson@riley.org,"Bonny, Rivers"
AGT511,Timothy Walls,Home Finders,2348019196777,khowell@jones.net,"Kano, Kano"
AGT512,Brandy Wilson,Home Finders,2348019736572,josephjacobs@cooper.net,"Ogbomosho, Oyo"
AGT513,Jessica Smith,Nest Away,2348050181935,amydavenport@tran.com,"Ibadan, Oyo"
AGT514,Allison Doyle,Home Finders,2348031687165,vpham@gmail.com,"Oyo Town, Oyo"
AGT515,Garrett Lin,Home Finders,2348085146293,darlene68@yahoo.com,"Surulere, Lagos"
AGT516,Andrew Graham,Home Finders,2348050962024,ryan59@alvarado-martinez.com,"Lekki, Lagos"
AGT517,Elizabeth Clark,Home Finders,2348052101056,rramos@gmail.com,"Nasarawa, Kano"
AGT518,Curtis Johnson,Nest Away,2348053779528,xcarr@gibson.org,"Oyo Town, Oyo"
AGT519,John Schmidt,Nest Away,2348069295515,usalazar@hotmail.com,"Maitama, Abuja FCT"
AGT520,Cynthia Rogers,Nest Away,2348065625330,edwardreyes@mccarthy.biz,"Lekki, Lagos"
AGT521,Kimberly Morrison,Nest Away,2348092228802,brobinson@johnson-rogers.biz,"Bonny, Rivers"
AGT522,George Hobbs,Home Finders,2348030244148,fking@yahoo.com,"Ogbomosho, Oyo"
AGT523,Kristy Robinson,Nest Away,2348066240084,gary91@gmail.com,"Obio-Akpor, Rivers"
AGT524,Lori Garcia,Home Finders,2348096268397,hoganashlee@gmail.com,"Kano, Kano"
AGT525,Jessica Gross,Home Finders,2348014164775,umarshall@hotmail.com,"Kano, Kano"
AGT526,David Ramirez,Nest Away,2348060372847,blackjames@gmail.com,"Oyo Town, Oyo"
AGT527,Hailey Barajas,Nest Away,2348058612055,jacqueline44@yahoo.com,"Oyo Town, Oyo"
AGT528,Isaac Turner,Home Finders,2348076344695,brandon08@terry-martinez.info,"Kano, Kano"
AGT529,Brittany Shepherd,Home Finders,2348022489409,mcknightdavid@yahoo.com,"Kano, Kano"
AGT530,Annette Farmer,Home Finders,2348081922443,donna23@arnold.com,"Ibadan, Oyo"
AGT531,Taylor Coleman,Nest Away,2348023769080,rebekahserrano@brown.org,"Surulere, Lagos"
AGT532,Lindsey Johnson,Nest Away,2348065857931,keyemily@johnston-hines.com,"Maitama, Abuja FCT"
AGT533,Christopher Jenkins,Home Finders,2348064830300,elaine68@gmail.com,"Asokoro, Abuja FCT"
AGT534,Carlos Roberts,Home Finders,2348089865458,johnsoncrystal@gmail.com,"Ogbomosho, Oyo"
AGT535,Jennifer Olson,Home Finders,2348087342561,stephenthomas@gmail.com,"Lekki, Lagos"
AGT536,Mrs. Brittany Ryan MD,Nest Away,2348014925405,mcantu@hotmail.com,"Ibadan, Oyo"
AGT537,Andrew Shaw MD,Home Finders,2348083715012,dgarcia@bowen.com,"Bonny, Rivers"
AGT538,Mark Mccall,Nest Away,2348074759996,hamiltoncorey@padilla.com,"Maitama, Abuja FCT"
AGT539,Kathleen Aguilar,Nest Away,2348075007200,dlittle@estrada-nolan.info,"Fagge, Kano"
AGT540,James Howard,Home Finders,2348069096899,andrew64@gmail.com,"Asokoro, Abuja FCT"
AGT541,Breanna Davis,Home Finders,2348094712997,kristina09@oconnor-davis.com,"Port Harcourt, Rivers"
AGT542,Gina Wilson,Home Finders,2348020598952,karenperez@ramsey.net,"Asokoro, Abuja FCT"
AGT543,Alexander Henson,Home Finders,2348071315464,deborahreid@yahoo.com,"Port Harcourt, Rivers"
AGT544,Michael Paul,Home Finders,2348095445405,nicolepena@yahoo.com,"Obio-Akpor, Rivers"
AGT545,Daniel Fowler,Home Finders,2348082398083,buchananjohn@buchanan.com,"Oyo Town, Oyo"
AGT546,Richard Young,Nest Away,2348026587799,thompsonbrian@hotmail.com,"Ogbomosho, Oyo"
AGT547,Victor Brown,Nest Away,2348025585427,gsimmons@yahoo.com,"Lekki, Lagos"
AGT548,Jessica Mcguire,Home Finders,2348083076970,russellbeasley@morgan-chavez.biz,"Port Harcourt, Rivers"
AGT549,Jacqueline Anderson,Nest Away,2348038984499,elizabeth65@pugh.com,"Fagge, Kano"
AGT550,Donald Perez,Home Finders,2348066500369,lynchdiane@hotmail.com,"Ibadan, Oyo"
AGT551,Cindy Barnes,Home Finders,2348020843514,mitchellgriffith@hotmail.com,"Obio-Akpor, Rivers"
AGT552,Daniel Hunt,Home Finders,2348070867592,rrodriguez@hotmail.com,"Asokoro, Abuja FCT"
AGT553,Paul Thompson,Home Finders,2348065137801,vincentwhitaker@yahoo.com,"Nasarawa, Kano"
AGT554,Vincent Jackson,Nest Away,2348098292612,christopher13@yahoo.com,"Ibadan, Oyo"
AGT555,David Thompson,Home Finders,2348031127115,thompsonkendra@marshall-elliott.org,"Fagge, Kano"
AGT556,Jesse Brown,Home Finders,2348067702031,newmantiffany@gmail.com,"Bonny, Rivers"
AGT557,Steven Cooper,Home Finders,2348027339011,benjaminzimmerman@warren-bishop.com,"Oyo Town, Oyo"
AGT558,Samuel Brandt,Home Finders,2348064362516,christopher25@ponce-hale.biz,"Bonny, Rivers"
AGT559,Katelyn Perez,Nest Away,2348078444607,chrisrichard@romero.net,"Ogbomosho, Oyo"
AGT560,Emily Stokes,Home Finders,2348030261159,michealvalentine@yahoo.com,"Kano, Kano"
AGT561,Christopher Cole,Nest Away,2348087890494,odavis@wilkerson-arias.biz,"Oyo Town, Oyo"
AGT562,Aaron Miller,Home Finders,2348060043345,marydunn@hotmail.com,"Asokoro, Abuja FCT"
AGT563,Lynn Andrews,Home Finders,2348098054173,ruben95@duncan.com,"Lekki, Lagos"
AGT564,Nicholas Fuller,Home Finders,2348040406092,bradleypayne@hotmail.com,"Ibadan, Oyo"
AGT565,Eric Sanders,Nest Away,2348048242379,benjamin34@yahoo.com,"Lekki, Lagos"
AGT566,Tim Stone PhD,Nest Away,2348026733967,jordanwanda@gmail.com,"Ikeja, Lagos"
AGT567,Jessica Fowler,Home Finders,2348023298711,lambertrichard@owen.com,"Port Harcourt, Rivers"
AGT568,Billy Taylor,Home Finders,2348048668339,redwards@gmail.com,"Fagge, Kano"
AGT569,Katherine Martinez,Home Finders,2348099170406,tthompson@osborn-cochran.com,"Surulere, Lagos"
AGT570,Jackie Lara,Home Finders,2348083284724,jonesraymond@higgins.org,"Lekki, Lagos"
AGT571,Frank Fletcher,Home Finders,2348014915156,meghan43@hotmail.com,"Ogbomosho, Oyo"
AGT572,Martin Ray,Nest Away,2348090859912,bmontgomery@small-gardner.com,"Nasarawa, Kano"
AGT573,Nathan Gross,Nest Away,2348058762794,xanderson@hotmail.com,"Obio-Akpor, Rivers"
AGT574,Cheryl Moore,Nest Away,2348052196099,fkoch@gmail.com,"Port Harcourt, Rivers"
AGT575,Adam Rodriguez,Home Finders,2348052894344,jessica65@morales.net,"Garki, Abuja FCT"
AGT576,Holly Thomas,Nest Away,2348084040798,williamsderrick@yahoo.com,"Surulere, Lagos"
AGT577,Ronald Patel,Home Finders,2348068065043,xcabrera@yahoo.com,"Kano, Kano"
AGT578,Melody Lee,Nest Away,2348087933054,robert63@yahoo.com,"Ibadan, Oyo"
AGT579,Hector Ingram,Home Finders,2348074819756,plee@yahoo.com,"Yaba, Lagos"
AGT580,Kimberly Huang,Home Finders,2348042445506,stephanie24@gmail.com,"Port Harcourt, Rivers"
AGT581,Taylor Perez,Home Finders,2348062780072,garciamark@garcia-townsend.com,"Bonny, Rivers"
AGT582,Parker Jefferson,Nest Away,2348085405783,robertmonroe@osborn.info,"Bonny, Rivers"
AGT583,Julie Lee,Nest Away,2348015402922,francisco74@lopez.org,"Kano, Kano"
AGT584,Jeremy Adams,Nest Away,2348050237208,brandi90@yahoo.com,"Ibadan, Oyo"
AGT585,Tyler Mendoza,Home Finders,2348014237322,robert87@hotmail.com,"Nasarawa, Kano"
AGT586,Joshua Martin,Home Finders,2348033244151,frazierjennifer@yahoo.com,"Oyo Town, Oyo"
AGT587,Jeff Graves,Home Finders,2348026357665,andersenthomas@ortiz-mack.biz,"Oyo Town, Oyo"
AGT588,Nathan Coleman,Home Finders,2348092634772,johnreed@yahoo.com,"Maitama, Abuja FCT"
AGT589,Daniel Shields,Home Finders,2348048307798,williamroberts@johnston.com,"Port Harcourt, Rivers"
AGT590,Jennifer Evans,Home Finders,2348070981700,oallen@mathews-thomas.info,"Oyo Town, Oyo"
AGT591,Larry Williams,Nest Away,2348079159799,lindamatthews@hansen.com,"Kano, Kano"
AGT592,Dennis Hunt,Home Finders,2348041715995,ugarcia@yahoo.com,"Nasarawa, Kano"
AGT593,Danielle Pierce,Nest Away,2348099133246,kathryn77@yahoo.com,"Kano, Kano"
AGT594,Alexa Wagner,Home Finders,2348070858653,williamsonelizabeth@hotmail.com,"Asokoro, Abuja FCT"
AGT595,Daisy Harvey,Home Finders,2348064877191,joseph61@yahoo.com,"Kano, Kano"
AGT596,Maria Rivera,Nest Away,2348060905625,hallrachel@clay.com,"Lekki, Lagos"
AGT597,Sarah Rhodes,Nest Away,2348068916591,icampos@hotmail.com,"Nasarawa, Kano"
