CustomerID,FullName,Phone,Email,Gender,DateRegistered
CUST1000,Fowler Angel,2348046913810,jeffreydoyle@hotmail.com,Male,2024-10-09
CUST1001,Blake Erik,2348055667651,joshua35@gmail.com,Male,2022-11-06
CUST1002,Ray Janet,2348016150444,kendragalloway@delacruz.com,Female,2024-05-19
CUST1003,Cameron Kimberly,2348053524491,trujillorichard@clark.com,Male,2023-05-11
CUST1004,Ross Jeffrey,2348063606628,ddavis@hernandez.biz,Male,2024-12-27
CUST1005,Moore Aaron,2348055657579,williamrodriguez@hotmail.com,Female,2023-09-21
CUST1006,Hickman Natasha,2348051273847,brianhumphrey@gmail.com,Male,2022-10-26
CUST1007,Kim Zachary,2348097225156,jeffreymorgan@spencer.com,Female,2023-06-05
CUST1008,Davis Ryan,2348047376585,uowens@gmail.com,Male,2025-04-26
CUST1009,Baxter Charles,2348055540424,pearsonamber@novak.com,Male,2024-03-07
CUST1010,Moore Kenneth,2348038688676,adkinsbrian@woods.com,Male,2024-08-11
CUST1011,Stewart Jose,2348017634247,josephanderson@hotmail.com,Male,2023-09-24
CUST1012,Wood Eric,2348027566185,contrerasangela@hotmail.com,Female,2022-11-22
CUST1013,Calderon Bradley,2348097775215,danagreen@hotmail.com,Male,2024-05-01
CUST1014,Gomez Anita,2348010475894,sarayoung@gmail.com,Male,2023-03-17
CUST1015,Garrison Jeffrey,2348038195995,kevin33@gmail.com,Male,2025-04-05
CUST1016,Johnson Candace,2348039854548,samuel81@yahoo.com,Female,2024-11-26
CUST1017,Terry Angela,2348015134794,yortega@adkins.biz,Female,2024-10-13
CUST1018,Robertson Cynthia,2348026726926,cardenaskaren@hotmail.com,Female,2023-10-10
CUST1019,Douglas Adam,2348087844239,zrobinson@holmes.com,Female,2024-05-24
CUST1020,Cole Karen,2348073771720,rsims@yahoo.com,Male,2022-10-13
CUST1021,Clark Robert,2348072363359,wwoods@molina-castaneda.biz,Female,2024-09-28
CUST1022,Meadows Brittany,2348052910691,dayderek@white-green.com,Male,2023-05-09
CUST1023,Jones Susan,2348010791358,herringjames@howell.com,Female,2024-06-19
CUST1024,Johnston Rebecca,2348062884503,mdavid@gmail.com,Male,2024-12-20
CUST1025,Hunter Matthew,2348056970882,xgarcia@hotmail.com,Male,2024-05-29
CUST1026,Sanchez Steven,2348087669750,anthony52@yahoo.com,Female,2023-05-10
